title,preptime,category,ingredients,instructions,picture_link,recipeby,calories,carbohydrates,sodium,cholestrol,fat,protiens,Main_Category
Bisquick Sausage Balls,15 mins ,Appetizers and Snacks#Meat and Poultry#Meatball Appetizer Recipes,"6 cups baking mix (such as Bisquick )# 2 pounds shredded extra-sharp Cheddar cheese# ""1 pound sage-flavored pork sausage (such as Neeses Extra Sage Sausage), at room temperature"", ""1 pound hot pork sausage (such as Neeses Hot Sausage), at room temperature""","Preheat oven to 300 degrees F (150 degrees C). Grease a baking sheet.# Mix baking mix, Cheddar cheese, sage-flavored pork sausage, and hot pork sausage together in a bowl. Roll mixture into golf ball-sized balls; arrange balls on the prepared baking sheet.# Bake in the preheated oven until meatballs are no longer pink in the middle and browned on the outside, 25 to 30 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F21%2F6207190-2000.jpg,Jana-Shay,162,7.3g,324.4mg.,24.5mg,12.1g,6g,Appetizers and Snacks
Chewy Coconut Cookies,30 mins ,Desserts#Cookies#Fruit Cookie Recipes#Coconut,¼ cups all-purpose flour# ½ teaspoon baking soda# ¼ teaspoon salt# ½ cup butter# ½ cup packed brown sugar# ½ cup white sugar# 1 egg# ½ teaspoon vanilla extract# 11 cups flaked coconut,"Preheat oven to 350 degrees F (175 degrees C.) Combine the flour, baking soda, and salt; set aside.# In a medium bowl, cream the butter, brown sugar, and white sugar until smooth. Beat in the egg and vanilla until light and fluffy. Gradually blend in the flour mixture, then mix in the coconut. Drop dough by teaspoonfuls onto an ungreased cookie sheet. Cookies should be about 3 inches apart.# Bake for 8 to 10 minutes in the preheated oven, or until lightly toasted. Cool on wire racks.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F21%2F6207190-2000.jpg,N. Hoff,75,10.5g,62.5mg.,11.9mg,3.5g,0.7g,Desserts
Very Easy Mushroom Barley Soup,15 mins ,Soups# Stews and Chili Recipes#Soup Recipes#Vegetable Soup Recipes#Barley Soup Recipes,¼ cup olive oil# 1 cup chopped onion# ¾ cup diced carrots# ½ cup chopped celery# 1 teaspoon minced garlic# 1 pound sliced fresh mushrooms# 6 cups chicken broth# ¾ cup barley# salt and pepper to taste,"Heat the oil in a large soup pot over medium heat. Add the onion, carrots, celery and garlic; cook and stir until onions are tender and transparent. Stir in mushrooms and continue to cook for a few minutes. Pour in the chicken broth and add barley. Bring to a boil, then reduce heat to low. Cover and simmer until barley is tender, about 50 minutes. Season with salt and pepper before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F21%2F6207190-2000.jpg,SANDI149,198,24g,27.7mg.,0,9.9g,5.8g,Soups
Poppy Seed Chicken Casserole,20 mins ,Meat and Poultry#Chicken#Breast,"4 skinless, boneless chicken breast halves# ½ cup butter, melted# 1 sleeve buttery round crackers (such as Ritz), crushed# 1 teaspoon poppy seeds, or more if desired# 1 (8 ounce) container sour cream# 1 (10.75 ounce) can condensed cream of chicken soup# 2 cups shredded Cheddar cheese","Place the chicken breasts into a large pot and cover with water. Bring to a boil over high heat, then reduce heat to medium, cover, and simmer until the chicken breasts are no longer pink in the center, about 20 minutes. Drain the water, then shred the chicken.# Preheat an oven to 350 degrees F (175 degrees C). Combine the butter, crackers, and poppy seeds in a bowl; set aside.# Blend the sour cream and cream of chicken soup in a bowl; pour half of the soup mixture into a 9x9-inch baking dish. Add the shredded chicken, then pour the remaining half of the soup mixture on top. Sprinkle with Cheddar cheese, then top with the cracker mixture.# Bake in the preheated oven until cheese has melted and the sauce is bubbly, 25 to 30 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F21%2F6207190-2000.jpg,Callie Wilson Wolfe,593,16.9g,900.2mg.,141.5mg,45.7g,28.4g,Meat and Poultry
Heavenly Halibut,15 mins ,Main Dishes#Seafood Main Dishes#Halibut,"½ cup grated Parmesan cheese# ¼ cup butter, softened# 3 tablespoons mayonnaise# 2 tablespoons lemon juice# 3 tablespoons chopped green onions# ¼ teaspoon salt# 1 dash hot pepper sauce# 2 pounds skinless halibut fillets","Preheat the oven broiler. Grease a baking dish.# In a bowl, mix the Parmesan cheese, butter, mayonnaise, lemon juice, green onions, salt, and hot pepper sauce.# Arrange the halibut fillets in the prepared baking dish.# Broil halibut fillets 8 minutes in the prepared oven, or until easily flaked with a fork. Spread with the Parmesan cheese mixture, and continue broiling 2 minutes, or until topping is bubbly and lightly browned.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9065924.jpg,chellebelle,235,0.9g,281.7mg.,58mg,13.9g,25.7g,Main Dishes
Best Toffee Ever - Super Easy,5 mins ,Desserts#Candy Recipes#Toffee Recipes,2 cups butter# 2 cups white sugar# ¼ teaspoon salt# 2 cups semisweet chocolate chips# 1 cup finely chopped almonds,"In a large heavy bottomed saucepan, combine the butter, sugar and salt. Cook over medium heat, stirring until the butter is melted. Allow to come to a boil, and cook until the mixture becomes a dark amber color, and the temperature has reached 285 degrees F (137 degrees C). Stir occasionally.# While the toffee is cooking, cover a large baking sheet with aluminum foil or parchment paper.# As soon as the toffee reaches the proper temperature, pour it out onto the prepared baking sheet. Sprinkle the chocolate over the top, and let it set for a minute or two to soften. Spread the chocolate into a thin even layer once it is melted. Sprinkle the nuts over the chocolate, and press in slightly. Putting a plastic bag over your hand will minimize the mess.# Place the toffee in the refrigerator to chill until set. Break into pieces, and store in an airtight container.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F01%2F17%2F73412-best-toffee-ever-super-easy-mfs445-1.jpg,FUNKYSEAMONKEY,226,20g,101.1mg.,30.5mg,16.9g,1.5g,Desserts
Brown Sugar Meatloaf with Ketchup Glaze,20 mins ,Main Dishes#Meatloaf Recipes#Beef Meatloaf Recipes,"½ cup ketchup# ½ cup packed brown sugar# 1½ teaspoons salt# ½ teaspoon chili powder# 1½ pounds lean ground beef# 1½ cups croutons, crushed# 1 small onion, chopped# 2 eggs# ¼ cup milk# ¼ teaspoon ground black pepper","Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x5-inch loaf pan.# Stir ketchup, brown sugar, salt, and chili powder together in a bowl until smooth. Spread a small amount of the ketchup mixture into the bottom of the prepared loaf pan.# Mix ground beef, croutons, onion, eggs, milk, and black pepper together in a large bowl; shape into a loaf and put into prepared pan. Spread remaining ketchup mixture over the loaf.# Bake in the preheated oven until no longer pink in the center, about 1 hour. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C).",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F01%2F17%2F73412-best-toffee-ever-super-easy-mfs445-1.jpg,Shell Hargis,278,22.8g,719.9mg.,102.8mg,12.2g,19.1g,Main Dishes
Tater Tot Taco Casserole,15 mins ,World Cuisine#Latin American#Mexican,"1 pound ground beef# 1 small onion, diced# 1 clove garlic, minced# 1 (1 ounce) packet taco seasoning mix# 1 (16 ounce) bag frozen Mexican-style corn# 1 (12 ounce) can black beans, rinsed and drained# 1 (12 ounce) bag shredded Mexican cheese blend# 1 (16 ounce) package frozen tater tots# 1 (12 fluid ounce) can enchilada sauce","Preheat an oven to 375 degrees F (190 degrees C). Prepare a 9x13-inch baking dish with cooking spray.# Cook the ground beef in a skillet over medium heat until completely browned, 5 to 7 minutes. Add the onion, garlic, taco seasoning mix, frozen Mexican-style corn, and black beans to the ground beef; cook and stir another 10 minutes. Set aside to cool slightly.# Combine the ground beef mixture in a large bowl with about 3/4 of the Mexican cheese blend and the tater tots; stir to combine.# Pour about 1/3 of the enchilada sauce into the bottom of the prepared baking dish. Add the tater tot mixture to the baking dish; lightly pat the mixture down into a solid, even layer. Pour the remaining enchilada sauce over the tater tot layer.# Bake in the preheated oven for 40 minutes. Sprinkle the remaining Mexican cheese over the casserole and return to oven until the cheese is melted and bubbly, about 5 minutes more.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7425369.jpg,Mama Smith,477,38.4g,1305.3mg.,75.6mg,27g,24.9g,World Cuisine
Authentic Pho,20 mins ,World Cuisine#Asian#Vietnamese#Soups and Stews,"4 pounds beef soup bones# 1 onion, unpeeled and cut in half# 5 slices fresh ginger# 1 tablespoon salt# 2 pods star anise# 2½ tablespoons fish sauce# 4 quarts water# 1 (8 ounce) package dried rice noodles# 1½ pounds beef top sirloin, thinly sliced# ½ cup chopped cilantro# 1 tablespoon chopped green onion# 1½ cups bean sprouts# 1 bunch Thai basil# 1 lime, cut into 4 wedges# ¼ cup hoisin sauce (Optional)# ¼ cup chile-garlic sauce (such as Sriracha) (Optional)","Preheat oven to 425 degrees F (220 degrees C).# Place beef bones on a baking sheet and roast in the preheated oven until browned, about 1 hour.# Place onion on a baking sheet and roast in the preheated oven until blackened and soft, about 45 minutes.# Place bones, onion, ginger, salt, star anise, and fish sauce in a large stockpot and cover with 4 quarts of water. Bring to a boil and reduce heat to low. Simmer on low for 6 to 10 hours. Strain the broth into a saucepan and set aside.# Place rice noodles in large bowl filled with room temperature water and allow to soak for 1 hour. Bring a large pot of water to a boil and after the noodles have soaked, place them in the boiling water for 1 minute. Bring stock to a simmer.# Divide noodles among 4 serving bowls; top with sirloin, cilantro, and green onion. Pour hot broth over the top. Stir and let sit until the beef is partially cooked and no longer pink, 1 to 2 minutes. Serve with bean sprouts, Thai basil, lime wedges, hoisin sauce, and chile-garlic sauce on the side.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F10%2F27%2FAuthentic-Pho-HH-2000.jpg,Allrecipes,509,65.6g,3519.3mg.,74mg,11g,34.9g,World Cuisine
Russian Honey Cake,45 mins ,World Cuisine#European#Eastern European#Russian,"¾ cup wildflower honey# 3 tablespoons cold water# 14 tablespoons unsalted butter, cut into slices# 1 cup white sugar# ¾ cup wildflower honey# 6 large cold eggs# 2½ teaspoons baking soda# ¾ teaspoon fine salt# 1 teaspoon ground cinnamon# 3¾ cups all-purpose flour# 4 cups cold heavy whipping cream# ¾ cup sour cream","Pour honey into a deep saucepan over medium heat. Boil until a shade darker and caramel-like in aroma, about 10 minutes. Turn off heat and whisk in cold water.# Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with a silicone mat (such as Silpat). Place a mixing bowl and a whisk in the refrigerator.# Place a large metal bowl over the lowest heat setting on the stovetop. Add butter, sugar, 1/4 cup of the burnt honey, and regular wildflower honey. Let sit until butter melts, 5 to 7 minutes.# Meanwhile, combine baking soda, salt, and cinnamon in a small bowl.# Whisk butter mixture and let sit until very warm to the touch. Whisk in eggs. Keep mixture over low heat until it gets very warm again; whisk in baking soda mixture. Remove from heat. Sift in flour in 2 or 3 additions, stirring well after each, until batter is easily spreadable.# Transfer about 1/2 cup batter onto the prepared baking sheet. Spread into an 8- or 9-inch circle using an offset spatula. Shake and tap the pan to knock out any air bubbles.# Bake in the preheated oven until lightly browned, 6 to 7 minutes. Remove liner from the pan and let cake layer continue cooling until firm enough to remove, 6 to 7 minutes. Invert cake onto a round of parchment paper.# Repeat until you have a total of 8 cake layers, letting each cool on an individual parchment round. Trim edges using a pizza wheel to ensure they are the same size; save scraps for crumb mixture.# Spread remaining batter onto the lined baking sheet. Bake in the preheated oven until edges are dry, about 10 minutes. Remove from the oven and cut into small pieces; toss with reserved cake scraps.# Return to the oven and continue to bake until browned, 7 to 10 minutes more. Let cool completely, 15 to 20 minutes. Transfer to a resealable bag and beat into fairly fine crumbs using a rolling pin. Set aside.# Remove the bowl and whisk from the refrigerator. Pour in heavy cream. Whisk until soft peaks form. Add remaining burnt honey and sour cream; continue whisking until stiff peaks form.# Place a cake layer on a parchment paper round on top of a pizza pan or serving plate. Spread a cup of frosting evenly on top, almost to the edge. Repeat with cake layers and frosting, pressing the layers in smooth-side down. Place last cake layer smooth-side up. Frost the top and sides of the cake. Cover with crumbs; clean any excess crumbs around base.# Cover with plastic wrap and refrigerate at least 8 hours, to overnight. Transfer to a cake stand using 2 spatulas. Cut and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7287365.jpg,Chef John,795,84.6g,484.7mg.,243.6mg,48.7g,9.5g,World Cuisine
