title,preptime,category,ingredients,instructions,picture_link,recipeby,calories,carbohydrates,sodium,cholestrol,fat,protiens,Main_Category
Best Chocolate Chip Cookies,10 mins ,Desserts#Cookies#Chocolate Chip Cookie Recipes,"1 cup butter, softened# 1 cup white sugar# 1 cup packed brown sugar# 2 eggs# 2 teaspoons vanilla extract# 1 teaspoon baking soda# 2 teaspoons hot water#½ teaspoon salt# 3 cups all-purpose flour# 2 cups semisweet chocolate chips# 1 cup chopped walnuts","Preheat oven to 350 degrees F (175 degrees C).# Cream together the butter, white sugar, and brown sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla. Dissolve baking soda in hot water. Add to batter along with salt. Stir in flour, chocolate chips, and nuts. Drop by large spoonfuls onto ungreased pans.# Bake for about 10 minutes in the preheated oven, or until edges are nicely browned.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F03%2F08%2F10813-best-chocolate-chip-cookies-mfs-step-7-148.jpg,Chef John,298,38.9g,165.8mg.,35.8mg,15.6g,3.6g,Desserts
Lemon Caper Butter Sauce,5 mins ,Side Dish#Sauces and Condiments#Sauces,"1 tablespoon capers#½ teaspoon butter# 2 lemons, juiced# salt and ground black pepper to taste# 2 tablespoons cold butter# 1 teaspoon chopped fresh savory","Crush capers in a small bowl with the back of a spoon.n# Melt 1/2 teaspoon butter in a skillet over medium-high heat until the butter foams and is golden; saute capers until fragrant, about 15 seconds. Add lemon juice, bring to a simmer, and cook, stirring frequently, until liquid is reduced by one-third, 1 to 3 minutes. Season with salt and pepper. Remove from heat.n# Stir cold butter and savory into lemon mixture, stirring constantly until butter is completely melted and sauce is shiny and thick, about 1 minute.n",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1879579.jpg,marybakes,269,24.6g,594.7mg.,66.4mg,25.8g,3.2g,Side Dish
Ghormeh Sabzi (Persian Herb Stew),2 hrs 24 mins ,Soups# Stews and Chili Recipes#Stews#Beef,"¼ cup canola oil, divided# 1 large yellow onion, finely chopped# 1 teaspoon ground turmeric# ½ pounds boneless chuck roast, cut into 1 1/2-inch cubes# ½ cups finely chopped spinach# 1 cup finely chopped green onions (green part only)#½ cup finely chopped Italian flat-leaf parsley#¼ cup finely chopped cilantro#¼ cup finely chopped chives#¼ cup finely chopped fenugreek leaves# ½ cups water, or more as needed# salt and ground black pepper to taste# 1 lemon, juiced# 4 dried Persian limes (limoo amani), or more to taste# 1 (15 ounce) can red kidney beans, drained and rinsed","Heat 2 tablespoons oil in a large pot over medium-high heat. Add onion; cook and stir until deep golden brown, 10 to 15 minutes. Stir in turmeric for 1 to 2 minutes. Add chuck cubes; cook until coated in turmeric and browned on all sides, 8 to 10 minutes.# Heat remaining 2 tablespoons oil in a separate pot over medium heat. Add spinach, green onions, parsley, cilantro, chives, and fenugreek leaves; cook and stir until deep dark green in color, 5 to 10 minutes.# Stir spinach mixture into the onion and chuck mixture. Pour in enough water to create a slurry consistency. Season with salt and pepper. Pour in lemon juice. Reduce heat, cover, and simmer stew until greens soften, about 1 hour.# Pierce dried limes with a fork and add to the stew. Continue simmering until chuck is tender, 30 minutes to 1 hour. Stir in red kidney beans. Cook until flavors combine, about 30 minutes. Discard dried limes before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5071244.jpg,Auntie KK,344,18.6g,226mg.,51.5mg,22.6g,18.4g,Soups
Baked Ham,5 hrs ,Main Dishes#Pork#Ham#Whole,"1 (12 pound) bone-in ham, rump portion#½ cup whole cloves# 1 cup packed brown sugar# 4 cups water, or as needed","Preheat the oven to 350 degrees F (175 degrees C).# Place ham in a roasting pan, and press whole cloves into the top at 1 to 2 inch intervals. Pack the top with a layer of brown sugar. Pour enough water into the bottom of the roasting pan to come to a 1 inch depth. Cover the pan tightly with aluminum foil or a lid.# Bake for 4 1/2 to 5 hours in the preheated oven (about 22 minutes per pound), or until the internal temperature of the ham has reached 160 degrees F (72 degrees C). Make sure the meat thermometer is not touching the bone. Let stand for about 20 minutes before carving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8883159.jpg&w=1200&h=678&c=sc&poi=face&q=60,Chef John,635,13.5g,2847.6mg.,148.1mg,40.2g,51.7g,Main Dishes
Drunken Mussels,10 mins ,Seafood#Shellfish#Mussels,"2 tablespoons butter# 4 cloves garlic, minced#½ teaspoon red pepper flakes, or to taste# 1 lemon, zested# 2 cups white wine# freshly ground black pepper to taste# 2 pounds mussels, cleaned and debearded# 1 cup chopped fresh flat-leaf parsley# 2 slices bread, grilled# 2 lemon wedges for garnish","Melt butter in a large stock pot over medium heat. Add garlic and let sizzle for about 30 seconds. Season with red pepper flakes and lemon zest, stirring for about 45 seconds.# Quickly pour in wine into the pan and season with black pepper. Bring sauce to a boil, stir in mussels, and cover immediately. Shake pot and let boil for 1 minute.# Stir mussels, replace cover, and let boil for 2 more minutes. The shells will begin to open. Stir in parsley, cover pot, and cook until all shells are open, 1 to 3 minutes.# Serve with grilled bread and lemon wedge.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2318004.jpg,CANDYLOTUS,553,40.5g,620.1mg.,91.2mg,14.8g,28.1g,Seafood
Baked Pork Chops with Cream of Mushroom Soup,1 hr ,Main Dishes#Pork#Pork Chop Recipes#Baked,"½ yellow onion, sliced# 4 pork chops# 26 ounces condensed cream of mushroom soup#¼ cup water# 2 cubes beef bouillon","Preheat the oven to 325 degrees F (165 degrees C).# Place sliced onion pieces on the bottom of a glass baking dish. Lay pork chops over the onions. Cover chops evenly with cream of mushroom soup. Add water and bouillon to the top, breaking up bouillon cubes to get the flavor spread out. Cover with aluminum foil.# Bake in the preheated oven, stirring the gravy once or twice, until no longer pink in the centers, about 1 hour. An instant-read thermometer inserted into the center of a chop should read 145 degrees F (63 degrees C).",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9383882.jpg,Chef John,419,13.8g,1673.5mg.,106.6mg,19.8g,44.2g,Main Dishes
Chef John's Irish Soda Bread,45 mins ,Bread#Quick Bread Recipes#Irish Soda Bread Recipes,"¼ cups all-purpose flour#½ cup whole wheat flour#¼ cup rolled oats# ¼ teaspoons baking soda# 1 teaspoon baking powder# ½ teaspoons salt#¼ cup cold unsalted butter, cut into small cubes# ¾ cups buttermilk# 1 large egg# 2 tablespoons honey, or more to taste# 2 teaspoons grated orange zest# 1 cup dried currants#…“ cup golden raisins","Preheat oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper or silicone baking mat.# Whisk all-purpose flour, whole wheat flour, oats, baking soda, baking powder, and salt together in a bowl. Cut butter into flour mixture using a pastry blender until mixture resembles coarse meal.# Beat buttermilk, egg, honey, and orange zest together in a bowl. Pour buttermilk mixture, currants, and raisins into flour mixture; stir with a wooden spoon until a wet, sticky dough comes together.# Turn dough out onto a well-floured work surface; press dough together into a soft ball of dough and cut into 2 pieces. Form each half into a smooth, round loaf. Transfer to prepared baking sheet and let rest for 15 minutes. Cut a 1/2-inch deep ""X"" into the top of each loaf with a serrated knife.# Bake in the preheated oven until golden brown and fragrant, about 45 minutes. Transfer loaves to a wire rack to cool completely before slicing.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4487313.jpg,Dbisbill,195,36g,381.7mg.,20.3mg,3.9g,5.1g,Bread
Veggie Pot Pie,1 hr ,Main Dishes#Savory Pie Recipes#Vegetarian Pie,"2 tablespoons olive oil# 1 onion, chopped# 8 ounces mushrooms# 1 clove garlic, minced# 2 large carrots, diced# 2 potatoes, peeled and diced# 2 stalks celery, sliced 1/4 inch wide# 2 cups cauliflower florets# 1 cup fresh green beans, trimmed and snapped into 1/2 inch pieces# 3 cups vegetable broth# 1 teaspoon kosher salt# 1 teaspoon ground black pepper# 2 tablespoons cornstarch# 2 tablespoons soy sauce# 1 recipe pastry for double-crust pie","Preheat oven to 425 degrees F (220 degrees C).# Heat oil in a large skillet or saucepan. Cook onions, mushrooms, and garlic in oil for 3 to 5 minutes, stirring frequently. Stir in carrots, potatoes, and celery. Stir in cauliflower, green beans, and vegetable broth. Bring to a boil, then turn heat down to a simmer. Cook until vegetables are barely tender, about 5 minutes. Season with salt and pepper.# In a small bowl, mix the cornstarch, soy sauce, and 1/4 cup water until cornstarch is completely dissolved. Stir into vegetables, and cook until sauce thickens, about 3 minutes.# Roll out 1/2 of the dough to line an 11x7 inch baking dish. Pour the filling into the pastry lined dish. Roll out remaining dough, arrange over the filling, and seal and flute the edges.# Bake in preheated oven for 30 minutes, or until the crust is brown.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F05%2F11%2F7765387.jpg,SANDI,469,54.4g,1198.2mg.,0,25g,8.4g,Main Dishes
Hamantashen,15 mins ,Desserts#Cookies,"½ cups butter or margarine, softened# 1 cup white sugar# 2 eggs# 6 tablespoons orange juice# 1 tablespoon vanilla extract# 2 teaspoons baking powder#½ cups all-purpose flour# 1 (12 ounce) can poppyseed filling","In a large bowl, cream together the butter and sugar until smooth. Beat in the eggs one at a time, then stir in the orange juice and vanilla. Mix in the baking powder, then gradually stir in the flour until the dough forms a ball. Cover and refrigerate at least 2 hours. I like to do mine overnight.# Preheat the oven to 375 degrees F (190 degrees C). Grease cookie sheets.# On a lightly floured surface, roll the dough out to 1/4 inch thickness. Cut into 3 inch circles using a cookie cutter or drinking glass. Place circles on the prepared cookie sheets. Spoon 1 teaspoon of filling onto the center of each circle. (Any more and it will ooze out) Pinch the sides of each circle to form a triangle, covering as much of the filling as possible. The cookies may be frozen on the cookie sheets if desired to help retain their shape while cooking.# Bake for 8 to 10 minutes in the preheated oven, until light golden brown. These are best undercooked slightly. Cool on the baking sheet for a few minutes before removing to wire racks to cool completely.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5180093.jpg,Robyn Michelle,184,23.4g,85.7mg.,30.7mg,8.9g,2.5g,Desserts
Black Bottom Cupcakes I,30 mins ,Desserts#Cakes#Holiday Cake Recipes,"1 (8 ounce) package cream cheese, softened# 1 egg#…“ cup white sugar#…› teaspoon salt# 1 cup miniature semisweet chocolate chips# ½ cups all-purpose flour# 1 cup white sugar#¼ cup unsweetened cocoa powder# 1 teaspoon baking soda#½ teaspoon salt# 1 cup water#…“ cup vegetable oil# 1 tablespoon cider vinegar# 1 teaspoon vanilla extract","Preheat oven to 350 degrees F (175 degrees C). Line muffin tins with paper cups or lightly spray with non-stick cooking spray.# In a medium bowl, beat the cream cheese, egg, 1/3 cup sugar and 1/8 teaspoon salt until light and fluffy. Stir in the chocolate chips and set aside.# In a large bowl, mix together the flour, 1 cup sugar, cocoa, baking soda and 1/2 teaspoon salt. Make a well in the center and add the water, oil, vinegar and vanilla. Stir together until well blended. Fill muffin tins 1/3 full with the batter and top with a dollop of the cream cheese mixture.# Bake in preheated oven for 25 to 30 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F50624.jpg,Helena W,171,22.4g,145mg.,18mg,8.9g,2.3g,Desserts
